,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,65,1.0,0.9846153855323792,0.996,1.0,0.996,1.0,0.99,0.6615384615384615,0.998,1.0
0,500,65,0.9980000257492065,0.9692307710647583,0.998,0.9846153846153847,1.0,1.0,0.996,0.6615384615384615,1.0,1.0
0,500,65,0.9900000691413879,0.9846153855323792,0.97,1.0,0.99,1.0,0.974,0.6461538461538462,0.992,0.9846153846153847
0,500,65,0.9820000529289246,1.0,0.972,0.9846153846153847,0.978,1.0,0.972,0.6615384615384615,0.982,1.0
0,500,65,0.9860000610351562,1.0,0.972,1.0,0.986,1.0,0.972,0.6307692307692307,0.986,1.0
0,500,65,1.0,1.0,0.98,0.9846153846153847,0.996,1.0,0.99,0.6615384615384615,0.998,1.0
0,500,65,0.9980000257492065,0.9692307710647583,0.984,1.0,0.998,1.0,0.99,0.6307692307692307,1.0,0.9846153846153847
0,500,65,0.984000027179718,0.9846153855323792,0.98,1.0,0.982,1.0,0.976,0.6307692307692307,0.982,1.0
0,500,65,0.9960000514984131,0.9846153855323792,0.996,1.0,0.996,0.9846153846153847,0.994,0.6307692307692307,0.996,0.9846153846153847
0,500,65,0.9880000352859497,1.0,0.982,1.0,0.99,1.0,0.982,0.6307692307692307,0.99,1.0
0,500,65,1.0,0.9692307710647583,0.996,0.9846153846153847,1.0,1.0,0.998,0.6615384615384615,1.0,1.0
0,500,65,0.9980000257492065,0.9692307710647583,0.99,0.9846153846153847,0.998,1.0,0.994,0.6461538461538462,0.998,1.0
0,500,65,0.9980000257492065,1.0,0.992,0.9846153846153847,0.996,1.0,0.984,0.6307692307692307,0.998,1.0
0,500,65,0.9860000610351562,0.9846153855323792,0.968,0.9846153846153847,0.982,1.0,0.964,0.6,0.986,1.0
0,500,65,0.9960000514984131,0.9846153855323792,0.992,1.0,0.994,1.0,0.986,0.6153846153846154,0.996,1.0
0,500,65,0.9920000433921814,0.9846153855323792,0.984,0.9846153846153847,0.99,1.0,0.98,0.6,0.99,1.0
0,500,65,1.0,0.9846153855323792,1.0,1.0,1.0,1.0,0.996,0.6307692307692307,1.0,1.0
0,500,65,0.9900000691413879,1.0,0.972,1.0,0.986,1.0,0.978,0.6153846153846154,0.986,1.0
0,500,65,0.9940000176429749,0.9692307710647583,0.984,1.0,0.992,1.0,0.986,0.6461538461538462,0.99,0.9846153846153847
0,500,65,0.9980000257492065,0.9846153855323792,0.984,1.0,0.996,1.0,0.98,0.676923076923077,0.998,1.0
0,500,65,1.0,0.9846153855323792,0.99,1.0,0.998,1.0,0.988,0.6153846153846154,0.998,1.0
0,500,65,0.9960000514984131,0.9846153855323792,0.992,1.0,0.994,1.0,0.992,0.6461538461538462,0.998,1.0
0,500,65,0.984000027179718,1.0,0.976,0.9846153846153847,0.984,1.0,0.98,0.676923076923077,0.984,1.0
0,500,65,0.9820000529289246,0.9846153855323792,0.964,1.0,0.984,0.9846153846153847,0.976,0.6307692307692307,0.98,1.0
0,500,65,0.9880000352859497,0.9538461565971375,0.98,0.9692307692307692,0.984,1.0,0.976,0.6,0.984,1.0
0,500,65,1.0,0.9538461565971375,0.998,0.9846153846153847,1.0,1.0,0.996,0.6615384615384615,1.0,0.9538461538461539
0,500,65,0.9940000176429749,0.9846153855323792,0.99,1.0,0.996,1.0,0.984,0.6461538461538462,0.996,1.0
0,500,65,0.984000027179718,0.9692307710647583,0.97,0.9846153846153847,0.978,1.0,0.978,0.676923076923077,0.978,1.0
0,500,65,0.9940000176429749,0.9846153855323792,0.976,1.0,0.988,1.0,0.988,0.6615384615384615,0.99,0.9692307692307692
0,500,65,0.9960000514984131,0.9384615421295166,0.99,1.0,0.992,1.0,0.986,0.6153846153846154,0.996,0.9846153846153847
0,500,65,0.9920000433921814,0.9846153855323792,0.978,1.0,0.992,1.0,0.984,0.6307692307692307,0.992,1.0
0,500,65,0.9980000257492065,1.0,0.986,1.0,0.996,1.0,0.984,0.6307692307692307,0.998,0.9846153846153847
0,500,65,0.9960000514984131,0.9846153855323792,0.992,0.9692307692307692,0.998,1.0,0.99,0.6307692307692307,0.996,0.9846153846153847
0,500,65,0.9880000352859497,0.9692307710647583,0.966,1.0,0.986,1.0,0.972,0.6,0.986,0.9846153846153847
0,500,65,0.9820000529289246,0.9846153855323792,0.964,0.9692307692307692,0.976,1.0,0.974,0.6307692307692307,0.978,1.0
0,500,65,0.9980000257492065,1.0,0.982,1.0,0.994,1.0,0.994,0.6153846153846154,0.996,1.0
0,500,65,0.9920000433921814,0.9692307710647583,0.978,1.0,0.994,1.0,0.984,0.6153846153846154,0.992,0.9846153846153847
0,500,65,1.0,0.9692307710647583,0.994,0.9538461538461539,1.0,1.0,0.994,0.6153846153846154,1.0,1.0
0,500,65,0.9960000514984131,0.9846153855323792,0.99,0.9846153846153847,0.996,0.9846153846153847,0.986,0.6461538461538462,0.996,1.0
0,500,65,0.9940000176429749,0.9692307710647583,0.988,0.9846153846153847,0.994,1.0,0.99,0.6615384615384615,0.992,1.0
