,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,65,0.9420000314712524,0.9384615421295166,0.904,0.9846153846153847,0.924,1.0,0.932,0.7076923076923077,0.924,0.9846153846153847
0,500,65,0.9620000720024109,1.0,0.928,0.9846153846153847,0.942,1.0,0.958,0.6615384615384615,0.946,0.9692307692307692
0,500,65,0.940000057220459,0.9538461565971375,0.914,1.0,0.924,1.0,0.936,0.6461538461538462,0.92,1.0
0,500,65,0.9540000557899475,0.9846153855323792,0.928,1.0,0.942,1.0,0.946,0.676923076923077,0.94,0.9846153846153847
0,500,65,0.9600000381469727,0.9846153855323792,0.934,0.9846153846153847,0.956,1.0,0.95,0.6307692307692307,0.95,1.0
0,500,65,0.9520000219345093,0.9538461565971375,0.922,1.0,0.936,1.0,0.952,0.7076923076923077,0.936,0.9538461538461539
0,500,65,0.9540000557899475,0.9692307710647583,0.928,1.0,0.934,1.0,0.942,0.6461538461538462,0.934,1.0
0,500,65,0.956000030040741,1.0,0.914,1.0,0.936,1.0,0.95,0.676923076923077,0.936,0.9846153846153847
0,500,65,0.9580000638961792,0.9846153855323792,0.934,1.0,0.94,1.0,0.95,0.6615384615384615,0.942,1.0
0,500,65,0.9460000395774841,0.9230769276618958,0.922,0.9846153846153847,0.93,1.0,0.936,0.7076923076923077,0.926,1.0
0,500,65,0.9700000286102295,0.9692307710647583,0.932,0.9692307692307692,0.944,1.0,0.954,0.6615384615384615,0.942,1.0
0,500,65,0.9520000219345093,0.9692307710647583,0.928,1.0,0.928,1.0,0.944,0.676923076923077,0.93,1.0
0,500,65,0.9580000638961792,0.9692307710647583,0.924,1.0,0.944,1.0,0.944,0.7384615384615385,0.944,0.9846153846153847
0,500,65,0.9660000205039978,0.9692307710647583,0.936,0.9846153846153847,0.95,1.0,0.952,0.6615384615384615,0.95,1.0
0,500,65,0.9540000557899475,0.9846153855323792,0.902,0.9846153846153847,0.924,1.0,0.942,0.6923076923076923,0.926,1.0
0,500,65,0.9520000219345093,0.9538461565971375,0.922,0.9692307692307692,0.94,1.0,0.942,0.6923076923076923,0.938,0.9846153846153847
0,500,65,0.9720000624656677,0.9384615421295166,0.936,1.0,0.968,1.0,0.962,0.7538461538461538,0.97,0.9384615384615385
0,500,65,0.9780000448226929,0.9230769276618958,0.942,1.0,0.964,1.0,0.966,0.7076923076923077,0.964,1.0
0,500,65,0.9420000314712524,1.0,0.886,1.0,0.908,1.0,0.93,0.6307692307692307,0.904,0.9384615384615385
0,500,65,0.9660000205039978,0.9846153855323792,0.928,0.9846153846153847,0.944,1.0,0.95,0.6461538461538462,0.948,1.0
0,500,65,0.9780000448226929,0.9384615421295166,0.948,0.9846153846153847,0.968,1.0,0.966,0.7076923076923077,0.964,1.0
0,500,65,0.9500000476837158,0.9384615421295166,0.898,0.9692307692307692,0.93,1.0,0.942,0.6615384615384615,0.93,1.0
0,500,65,0.968000054359436,0.9692307710647583,0.932,0.9846153846153847,0.956,1.0,0.964,0.7076923076923077,0.948,0.9846153846153847
0,500,65,0.9600000381469727,0.9538461565971375,0.924,1.0,0.938,1.0,0.952,0.676923076923077,0.938,1.0
0,500,65,0.9700000286102295,0.9692307710647583,0.938,1.0,0.946,1.0,0.964,0.6615384615384615,0.944,1.0
0,500,65,0.9580000638961792,0.9846153855323792,0.932,0.9846153846153847,0.948,1.0,0.948,0.6615384615384615,0.948,0.9692307692307692
0,500,65,0.9480000734329224,0.9692307710647583,0.918,0.9846153846153847,0.926,1.0,0.928,0.676923076923077,0.926,0.9846153846153847
0,500,65,0.9640000462532043,0.9846153855323792,0.926,1.0,0.942,1.0,0.96,0.676923076923077,0.94,1.0
0,500,65,0.9660000205039978,0.9538461565971375,0.956,1.0,0.96,1.0,0.962,0.676923076923077,0.96,0.9846153846153847
0,500,65,0.9500000476837158,0.9076923131942749,0.922,0.9846153846153847,0.93,1.0,0.938,0.6923076923076923,0.932,1.0
0,500,65,0.9580000638961792,0.9538461565971375,0.922,1.0,0.948,1.0,0.95,0.6615384615384615,0.946,1.0
0,500,65,0.956000030040741,0.9692307710647583,0.938,1.0,0.944,1.0,0.944,0.7076923076923077,0.944,0.9846153846153847
0,500,65,0.9300000667572021,0.9538461565971375,0.9,0.9846153846153847,0.908,1.0,0.918,0.6153846153846154,0.908,1.0
0,500,65,0.9540000557899475,0.9230769276618958,0.918,0.9692307692307692,0.938,1.0,0.94,0.7846153846153846,0.938,0.9692307692307692
0,500,65,0.9420000314712524,0.9692307710647583,0.92,0.9846153846153847,0.922,1.0,0.94,0.676923076923077,0.92,1.0
0,500,65,0.9720000624656677,0.9076923131942749,0.932,1.0,0.96,1.0,0.956,0.676923076923077,0.96,0.9692307692307692
0,500,65,0.9500000476837158,0.9076923131942749,0.902,0.9692307692307692,0.918,1.0,0.938,0.676923076923077,0.924,0.9692307692307692
0,500,65,0.9600000381469727,0.9846153855323792,0.926,0.9846153846153847,0.946,0.9846153846153847,0.954,0.7384615384615385,0.946,1.0
0,500,65,0.9740000367164612,0.9846153855323792,0.954,1.0,0.96,1.0,0.966,0.6923076923076923,0.96,0.9846153846153847
0,500,65,0.9640000462532043,0.9230769276618958,0.942,0.9692307692307692,0.954,1.0,0.956,0.7076923076923077,0.954,1.0
0,500,65,0.9580000638961792,0.9692307710647583,0.932,0.9846153846153847,0.944,1.0,0.944,0.7076923076923077,0.948,1.0
0,500,65,0.9700000286102295,0.9846153855323792,0.942,0.9846153846153847,0.954,1.0,0.966,0.6923076923076923,0.954,0.9846153846153847
0,500,65,0.956000030040741,0.9538461565971375,0.912,1.0,0.942,1.0,0.94,0.7076923076923077,0.946,1.0
0,500,65,0.9460000395774841,0.9692307710647583,0.912,1.0,0.924,1.0,0.938,0.7076923076923077,0.926,0.9846153846153847
0,500,65,0.9700000286102295,1.0,0.948,0.9846153846153847,0.956,1.0,0.966,0.676923076923077,0.954,0.9846153846153847
0,500,65,0.9300000667572021,0.9538461565971375,0.886,0.9846153846153847,0.904,1.0,0.924,0.6923076923076923,0.906,1.0
0,500,65,0.9640000462532043,0.9538461565971375,0.924,0.9846153846153847,0.942,1.0,0.956,0.6615384615384615,0.938,0.9692307692307692
0,500,65,0.968000054359436,0.9846153855323792,0.944,1.0,0.956,1.0,0.956,0.7076923076923077,0.956,0.9846153846153847
0,500,65,0.9620000720024109,0.9692307710647583,0.938,0.9846153846153847,0.952,1.0,0.95,0.7076923076923077,0.954,0.9692307692307692
0,500,65,0.9440000653266907,0.9538461565971375,0.904,0.9692307692307692,0.916,1.0,0.93,0.676923076923077,0.916,0.9692307692307692
0,500,65,0.9580000638961792,0.9846153855323792,0.934,1.0,0.95,1.0,0.938,0.7076923076923077,0.948,1.0
0,500,65,0.9580000638961792,0.9538461565971375,0.92,1.0,0.944,1.0,0.952,0.6153846153846154,0.94,0.9692307692307692
0,500,65,0.9480000734329224,0.9692307710647583,0.906,1.0,0.92,1.0,0.932,0.676923076923077,0.92,1.0
0,500,65,0.956000030040741,0.9384615421295166,0.936,0.9846153846153847,0.94,1.0,0.946,0.6461538461538462,0.942,1.0
0,500,65,0.9440000653266907,0.9384615421295166,0.91,0.9692307692307692,0.924,1.0,0.936,0.676923076923077,0.926,1.0
0,500,65,0.9480000734329224,0.9538461565971375,0.912,0.9846153846153847,0.926,1.0,0.94,0.6923076923076923,0.934,1.0
0,500,65,0.9640000462532043,0.9846153855323792,0.924,1.0,0.944,1.0,0.956,0.7384615384615385,0.944,1.0
0,500,65,0.940000057220459,0.9384615421295166,0.904,0.9538461538461539,0.912,1.0,0.932,0.6461538461538462,0.908,0.9846153846153847
0,500,65,0.9460000395774841,0.9538461565971375,0.906,0.9846153846153847,0.918,1.0,0.942,0.7076923076923077,0.918,0.9846153846153847
0,500,65,0.9720000624656677,0.9846153855323792,0.944,0.9846153846153847,0.96,1.0,0.968,0.676923076923077,0.96,1.0
0,500,65,0.9600000381469727,0.9692307710647583,0.942,1.0,0.942,1.0,0.952,0.6615384615384615,0.944,0.9846153846153847
0,500,65,0.9640000462532043,0.9692307710647583,0.928,0.9846153846153847,0.938,1.0,0.96,0.7230769230769231,0.95,0.9692307692307692
0,500,65,0.9480000734329224,0.9846153855323792,0.924,1.0,0.93,1.0,0.95,0.6615384615384615,0.932,1.0
0,500,65,0.9760000705718994,0.9230769276618958,0.956,0.9692307692307692,0.962,1.0,0.964,0.6307692307692307,0.964,1.0
0,500,65,0.9520000219345093,0.9692307710647583,0.92,0.9692307692307692,0.926,1.0,0.944,0.676923076923077,0.924,1.0
0,500,65,0.9440000653266907,0.9384615421295166,0.916,0.9846153846153847,0.926,1.0,0.93,0.6615384615384615,0.926,1.0
0,500,65,0.956000030040741,0.9384615421295166,0.924,0.9846153846153847,0.932,1.0,0.95,0.6923076923076923,0.93,1.0
