,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,125,0.9500000476837158,0.9200000166893005,0.938,0.984,0.944,0.984,0.934,0.672,0.952,0.96
0,500,125,0.9700000286102295,0.9280000329017639,0.948,0.96,0.966,0.976,0.954,0.68,0.962,0.952
0,500,125,0.9740000367164612,0.9360000491142273,0.962,0.976,0.966,0.984,0.964,0.68,0.966,0.96
0,500,125,0.9660000205039978,0.9360000491142273,0.942,0.96,0.956,0.992,0.95,0.672,0.962,0.952
0,500,125,0.9720000624656677,0.8800000548362732,0.944,0.96,0.954,0.984,0.938,0.664,0.958,0.952
0,500,125,0.9620000720024109,0.9360000491142273,0.96,0.904,0.958,0.976,0.954,0.624,0.966,0.928
0,500,125,0.9760000705718994,0.9040000438690186,0.954,0.992,0.972,0.96,0.954,0.64,0.974,0.968
0,500,125,0.9500000476837158,0.9120000600814819,0.928,0.912,0.938,0.952,0.92,0.68,0.94,0.944
0,500,125,0.9700000286102295,0.9520000219345093,0.952,0.944,0.962,0.984,0.956,0.672,0.97,0.96
0,500,125,0.968000054359436,0.9120000600814819,0.95,0.936,0.96,0.984,0.952,0.68,0.968,0.96
0,500,125,0.9520000219345093,0.8960000276565552,0.936,0.944,0.944,0.984,0.936,0.64,0.946,0.944
0,500,125,0.968000054359436,0.8960000276565552,0.946,0.944,0.956,0.968,0.956,0.688,0.95,0.976
0,500,125,0.9800000190734863,0.9040000438690186,0.96,0.952,0.976,0.984,0.954,0.696,0.972,0.992
0,500,125,0.9580000638961792,0.9200000166893005,0.942,0.952,0.958,0.968,0.95,0.656,0.958,0.976
0,500,125,0.9540000557899475,0.8880000710487366,0.942,0.968,0.952,0.968,0.934,0.632,0.958,0.96
0,500,125,0.956000030040741,0.9360000491142273,0.93,0.96,0.946,0.968,0.948,0.664,0.95,0.96
0,500,125,0.9460000395774841,0.9120000600814819,0.926,0.936,0.92,0.976,0.93,0.608,0.934,0.952
0,500,125,0.9600000381469727,0.9440000653266907,0.948,0.944,0.956,0.984,0.95,0.656,0.964,0.96
0,500,125,0.9620000720024109,0.9120000600814819,0.938,0.96,0.956,0.968,0.948,0.688,0.956,0.944
0,500,125,0.9660000205039978,0.9120000600814819,0.954,0.944,0.96,0.952,0.95,0.672,0.96,0.96
0,500,125,0.9600000381469727,0.9360000491142273,0.938,0.944,0.944,0.976,0.948,0.664,0.948,0.952
0,500,125,0.9600000381469727,0.8960000276565552,0.936,0.952,0.956,0.992,0.946,0.688,0.956,0.928
0,500,125,0.9440000653266907,0.9040000438690186,0.936,0.944,0.942,0.944,0.926,0.656,0.944,0.968
0,500,125,0.9500000476837158,0.8960000276565552,0.932,0.936,0.94,0.984,0.934,0.656,0.942,0.936
