,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,25,0.5700000524520874,1.0,0.424,1.0,0.426,1.0,0.558,1.0,0.424,1.0
0,500,25,0.562000036239624,1.0,0.422,1.0,0.43,1.0,0.548,1.0,0.422,1.0
0,500,25,0.5520000457763672,1.0,0.394,1.0,0.406,1.0,0.546,1.0,0.404,1.0
0,500,25,0.5560000538825989,1.0,0.414,1.0,0.414,1.0,0.546,1.0,0.418,1.0
0,500,25,0.550000011920929,1.0,0.414,1.0,0.43,1.0,0.534,1.0,0.436,1.0
0,500,25,0.5820000171661377,1.0,0.426,1.0,0.438,1.0,0.57,1.0,0.426,1.0
0,500,25,0.5760000348091125,1.0,0.428,1.0,0.422,1.0,0.558,1.0,0.424,1.0
0,500,25,0.5600000023841858,1.0,0.408,1.0,0.414,1.0,0.546,1.0,0.406,1.0
0,500,25,0.5600000023841858,1.0,0.412,1.0,0.418,1.0,0.546,1.0,0.418,1.0
0,500,25,0.5680000185966492,1.0,0.406,1.0,0.4,1.0,0.558,1.0,0.406,1.0
0,500,25,0.5680000185966492,1.0,0.414,1.0,0.42,1.0,0.56,1.0,0.418,1.0
0,500,25,0.5600000023841858,1.0,0.408,1.0,0.416,1.0,0.55,1.0,0.4,1.0
0,500,25,0.5600000023841858,1.0,0.418,1.0,0.426,1.0,0.552,1.0,0.424,1.0
0,500,25,0.5740000009536743,1.0,0.416,1.0,0.428,1.0,0.56,1.0,0.426,1.0
0,500,25,0.5640000104904175,1.0,0.384,1.0,0.402,1.0,0.556,1.0,0.396,1.0
0,500,25,0.5600000023841858,1.0,0.406,1.0,0.4,1.0,0.552,1.0,0.404,1.0
0,500,25,0.5720000267028809,1.0,0.404,1.0,0.41,1.0,0.554,1.0,0.414,1.0
0,500,25,0.5480000376701355,1.0,0.406,1.0,0.396,1.0,0.538,1.0,0.4,1.0
0,500,25,0.5540000200271606,1.0,0.428,1.0,0.41,1.0,0.534,1.0,0.418,1.0
0,500,25,0.5600000023841858,1.0,0.406,1.0,0.412,1.0,0.546,1.0,0.414,1.0
0,500,25,0.5700000524520874,1.0,0.41,1.0,0.432,1.0,0.558,1.0,0.426,1.0
